,humanGEMID,abbreviation,description,formula,subsystem,ecnumber,keggId,keggorthology,cog,seed,metanetx,MetaboliteMatch,Id
1659,,FAOXC240200x,"""Beta Oxidation of Long Chain Fatty Acid""","""2.0 coa[x] + 2.0 h2o[x] + 2.0 nad[x] + 2.0 o2[x] + ttccoa[x] -> 2.0 accoa[x] + arachcoa[x] + 2.0 h[x] + 2.0 h2o2[x] + 2.0 nadh[x] """,fatty_acid_oxidation,"""4.2.1.74""",,,,,,0,bio/FAOXC240200x
1660,FAOXC241181x,FAOXC241181x,"""Beta Oxidation of Long Chain Fatty Acid""","""3.0 coa[x] + 3.0 h2o[x] + 3.0 nad[x] + nrvnccoa[x] + 3.0 o2[x] -> 3.0 accoa[x] + 3.0 h[x] + 3.0 h2o2[x] + 3.0 nadh[x] + odecoa[x] """,fatty_acid_oxidation,"""nan""",,,,,MNXR99361,0,bio/FAOXC241181x
1661,FAOXC2442246x,FAOXC2442246x,"""Beta Oxidation of Long Chain Fatty Acid""","""coa[x] + h2o[x] + nad[x] + o2[x] + tettet6coa[x] -> accoa[x] + adrncoa[x] + h[x] + h2o2[x] + nadh[x] """,fatty_acid_oxidation,"""nan""",,,,,MNXR99363,0,bio/FAOXC2442246x
1662,FAOXC2452253x,FAOXC2452253x,"""Beta Oxidation of Long Chain Fatty Acid""","""coa[x] + h2o[x] + nad[x] + o2[x] + tetpent3coa[x] -> accoa[x] + clpndcoa[x] + h[x] + h2o2[x] + nadh[x] """,fatty_acid_oxidation,"""nan""",,,,,MNXR99364,0,bio/FAOXC2452253x
1663,FAOXC2452256x,FAOXC2452256x,"""Beta Oxidation of Long Chain Fatty Acid""","""coa[x] + h2o[x] + nad[x] + o2[x] + tetpent6coa[x] -> accoa[x] + dcsptn1coa[x] + h[x] + h2o2[x] + nadh[x] """,fatty_acid_oxidation,"""nan""",,,,,MNXR99365,0,bio/FAOXC2452256x
1664,FAOXC246226x,FAOXC246226x,"""Beta Oxidation of Long Chain Fatty Acid""","""coa[x] + h2o[x] + nad[x] + o2[x] + tethex3coa[x] -> accoa[x] + c226coa[x] + h[x] + h2o2[x] + nadh[x] """,fatty_acid_oxidation,"""nan""",,,,,MNXR99366,0,bio/FAOXC246226x
1665,,FAOXC260240x,"""Beta Oxidation of Long Chain Fatty Acid""","""coa[x] + h2o[x] + hexccoa[x] + nad[x] + o2[x] -> accoa[x] + h[x] + h2o2[x] + nadh[x] + ttccoa[x] """,fatty_acid_oxidation,"""4.2.1.74""",,,,,,0,bio/FAOXC260240x
1666,FAOXC80,FAOXC80,"""Beta Oxidation of Med/Long Chain Fatty Acid""","""3.0 coa[m] + 3.0 fad[m] + 3.0 h2o[m] + 3.0 nad[m] + occoa[m] -> 4.0 accoa[m] + 3.0 fadh2[m] + 3.0 h[m] + 3.0 nadh[m] """,fatty_acid_oxidation,"""nan""",,,,,MNXR99373,0,bio/FAOXC80
1667,FAS100COA,FAS100COA,"""Fatty Acyl Coenzyme A Synthase (N-C10:0CoA)""","""3.0 h[c] + malcoa[c] + 2.0 nadph[c] + occoa[c] -> co2[c] + coa[c] + dcacoa[c] + h2o[c] + 2.0 nadp[c] """,fatty_acid_synthesis,"""2.3.1.86""",,,,,MNXR99385,0,bio/FAS100COA
1668,FAS120COA,FAS120COA,"""Fatty-Acyl Coenzyme A Synthase (N-C12:0CoA)""","""dcacoa[c] + 3.0 h[c] + malcoa[c] + 2.0 nadph[c] -> co2[c] + coa[c] + ddcacoa[c] + h2o[c] + 2.0 nadp[c] """,fatty_acid_synthesis,"""2.3.1.86""",,,,,MNXR99389,0,bio/FAS120COA
1669,FAS140COA,FAS140COA,"""Fatty-Acyl Coenzyme A Synthase (N-C14:0CoA)""","""ddcacoa[c] + 3.0 h[c] + malcoa[c] + 2.0 nadph[c] -> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + tdcoa[c] """,fatty_acid_synthesis,"""2.3.1.86""",,,,,MNXR99393,0,bio/FAS140COA
1670,FAS160COA,FAS160COA,"""Fatty-Acyl Coenzyme A Synthase (N-C16:0CoA)""","""3.0 h[c] + malcoa[c] + 2.0 nadph[c] + tdcoa[c] -> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + pmtcoa[c] """,fatty_acid_synthesis,"""2.3.1.86""",,,,,MNXR99399,0,bio/FAS160COA
1671,FAS180COA,FAS180COA,"""Fatty-Acyl Coenzyme A Synthase (N-C18:0CoA)""","""3.0 h[c] + malcoa[c] + 2.0 nadph[c] + pmtcoa[c] -> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + stcoa[c] """,fatty_acid_synthesis,"""2.3.1.86""",,,,,MNXR99405,0,bio/FAS180COA
1672,FAS80COA_L,FAS80COA_L,"""Fatty Acyl Coenzyme A Synthase (N-C8:0CoA), Lumped Reaction""","""accoa[c] + 9.0 h[c] + 3.0 malcoa[c] + 6.0 nadph[c] -> 3.0 co2[c] + 3.0 coa[c] + 3.0 h2o[c] + 6.0 nadp[c] + occoa[c] """,fatty_acid_synthesis,"""2.3.1.86""",,,,,MNXR99415,0,bio/FAS80COA_L
1673,,FATP1t,"""Fatty Acid Electroneutral Transport""","""hdca[c] + na1[c] <=> hdca[e] + na1[e] """,transport_extracellular,"""nan""",,,,,MNXR99450,0,bio/FATP1t
1674,,FATP2t,"""Fatty Acid Electroneutral Transport""","""na1[c] + ocdcea[c] <=> na1[e] + ocdcea[e] """,transport_extracellular,"""nan""",,,,,MNXR99451,0,bio/FATP2t
1675,HMR_8939,FATP3t,"""Fatty Acid Electroneutral Transport""","""na1[c] + ocdca[c] <=> na1[e] + ocdca[e] """,transport_extracellular,"""nan""",,,,,MNXR99452,0,bio/HMR_8939
1676,HMR_8940,FATP4t,"""Fatty Acid Electroneutral Transport""","""arach[c] + na1[c] <=> arach[e] + na1[e] """,transport_extracellular,"""nan""",,,,,MNXR99453,0,bio/HMR_8940
1677,HMR_8941,FATP5t,"""Fatty Acid Electroneutral Transport""","""arachd[c] + na1[c] <=> arachd[e] + na1[e] """,transport_extracellular,"""nan""",,,,,MNXR99454,0,bio/HMR_8941
1678,HMR_8942,FATP6t,"""Fatty Acid Electroneutral Transport""","""adrn[c] + na1[c] <=> adrn[e] + na1[e] """,transport_extracellular,"""nan""",,,,,MNXR99455,0,bio/HMR_8942
1679,HMR_8943,FATP7t,"""Fatty Acid Electroneutral Transport""","""crvnc[c] + na1[c] <=> crvnc[e] + na1[e] """,transport_extracellular,"""nan""",,,,,MNXR99456,0,bio/HMR_8943
1680,HMR_8944,FATP8t,"""Fatty Acid Electroneutral Transport""","""lgnc[c] + na1[c] <=> lgnc[e] + na1[e] """,transport_extracellular,"""nan""",,,,,MNXR99457,0,bio/HMR_8944
1681,HMR_8945,FATP9t,"""Fatty Acid Electroneutral Transport""","""na1[c] + nrvnc[c] <=> na1[e] + nrvnc[e] """,transport_extracellular,"""nan""",,,,,MNXR99458,0,bio/HMR_8945
1682,,FBA4,"""D-Fructose 1-Phosphate D-Glyceraldehyde-3-Phosphate-Lyase""","""xu1p_D[c] <=> dhap[c] + gcald[c] """,glyoxylate_and_dicarboxylate_metabolism,"""4.1.2.19""",R01785,K01623,COG3588,,MNXR99462,0,bio/FBA4
1683,FBA5,FBA5,"""D-Tagatose 1-Phosphate D-Glyceraldehyde-3-Phosphate-Lyase""","""tag1p_D[c] <=> dhap[c] + glyald[c] """,galactose_metabolism,"""nan""",,,,,MNXR99463,0,bio/FBA5
1684,HMR_8762,FBP26,"""Fructose-2, 6-Bisphosphate 2-Phosphatase""","""f26bp[c] + h2o[c] -> f6p[c] + pi[c] """,fructose_and_mannose_metabolism,"""3.1.3.46""",R02731,,,,MNXR99466,0,bio/HMR_8762
1685,HMR_4758,FCLTm,"""Ferrochelatase, Mitochondrial""","""fe2[m] + ppp9[m] -> 2.0 h[m] + pheme[m] """,heme_synthesis,"""4.99.1.1""",R00310,,,,MNXR99471,0,bio/HMR_4758
1686,FCLTm,FCLTm,"""Ferrochelatase, Mitochondrial""","""fe2[m] + ppp9[m] -> 2.0 h[m] + pheme[m] """,heme_synthesis,"""4.99.1.1""",R00310,,,,MNXR99471,0,bio/FCLTm
1687,FCLTc,FCLTm,"""Ferrochelatase, Mitochondrial""","""fe2[m] + ppp9[m] -> 2.0 h[m] + pheme[m] """,heme_synthesis,"""4.99.1.1""",R00310,,,,MNXR99471,0,bio/FCLTc
1688,,FCOAH,"""Formyl Coenzyme A Hydrolase""","""formcoa[c] + h2o[c] -> coa[c] + for[c] + h[c] """,fatty_acid_oxidation,"""nan""",,,,,,0,bio/FCOAH
1689,,FDH,"""Formate Dehydrogenase""","""for[c] + nad[c] -> co2[c] + nadh[c] """,fatty_acid_oxidation,"""1.2.1.2""",R00519,K00122,,,MNXR99475,0,bio/FDH
1690,HMR_5987,FE2t,"""Transport of Iron (Fe2+) ""","""fe2[e] -> fe2[c] """,transport_extracellular,"""nan""",,,,,MNXR99505,bio/Fe,bio/HMR_5987
1691,HMR_8758,FE2tm,"""Transport of Iron (Fe2+), Mitochondrial""","""fe2[c] + h[c] -> fe2[m] + h[m] """,transport_mitochondrial,"""nan""",,,,,MNXR99501,bio/Fe,bio/HMR_8758
1692,HMR_5420,FE2tm,"""Transport of Iron (Fe2+), Mitochondrial""","""fe2[c] + h[c] -> fe2[m] + h[m] """,transport_mitochondrial,"""nan""",,,,,MNXR99501,bio/Fe,bio/HMR_5420
1693,FE2tm,FE2tm,"""Transport of Iron (Fe2+), Mitochondrial""","""fe2[c] + h[c] -> fe2[m] + h[m] """,transport_mitochondrial,"""nan""",,,,,MNXR99501,bio/Fe,bio/FE2tm
1694,,FE3R2e,"""Fe3+ Reduction (Ascorbate)""","""ascb_L[e] + 2.0 fe3[e] -> dhdascb[e] + 2.0 fe2[e] + h[e] """,heme_synthesis,"""nan""",,,,,,bio/Fe,bio/FE3R2e
1695,,FK,"""Fucokinase""","""atp[c] + fuc_L[c] -> adp[c] + fuc1p_L[c] + h[c] """,fructose_and_mannose_metabolism,"""2.7.1.52""",,,,rxn02262,MNXR99595,0,bio/FK
1696,HMR_4216,FKYNH,"""N-Formyl-L-Kynurenine Amidohydrolase""","""h2o[c] + Lfmkynr[c] -> for[c] + h[c] + Lkynr[c] """,tryptophan_metabolism,"""3.5.1.9""",R01959,K01432 K07130 K14263,COG1878 COG0657,rxn01437,MNXR99596,0,bio/HMR_4216
1697,HMR_4655,FOLR2,"""Folate Reductase""","""fol[c] + nadph[c] -> dhf[c] + nadp[c] """,folate_metabolism,"""1.5.1.3""",R02236,,,,MNXR97400,bio/CHEMBL1622,bio/HMR_4655
1698,HMR_4656,FOLR2,"""Folate Reductase""","""fol[c] + nadph[c] -> dhf[c] + nadp[c] """,folate_metabolism,"""1.5.1.3""",R02236,,,,MNXR97400,bio/CHEMBL1622,bio/HMR_4656
1699,HMR_7684,FOLt2,"""Folate Transport via Anion Antiport""","""fol[e] + h2o[c] <=> fol[c] + h2o[e] """,transport_extracellular,"""nan""",,,,,MNXR99613,bio/CHEMBL1622,bio/HMR_7684
1700,FOLt2,FOLt2,"""Folate Transport via Anion Antiport""","""fol[e] + h2o[c] <=> fol[c] + h2o[e] """,transport_extracellular,"""nan""",,,,,MNXR99613,bio/CHEMBL1622,bio/FOLt2
1701,,FORMCOAtx,"""Formyl Coenzyme A Transport""","""formcoa[x] <=> formcoa[c] """,transport_peroxisomal,"""nan""",,,,,MNXR99619,bio/C22H32N7O17P3S,bio/FORMCOAtx
1702,,FORt2m,"""Transport of Formate, Mitochondrial""","""for[m] <=> for[c] """,transport_mitochondrial,"""4.99.1.1""",,,,,,bio/CHEMBL116736,bio/FORt2m
1703,HMR_4944,FORtr,"""Transport of Formate, Endoplasmatic Reticulum""","""for[c] <=> for[r] """,transport_endoplasmic_reticular,"""nan""",,,,,MNXR99620,bio/CHEMBL116736,bio/HMR_4944
1704,HMR_4942,FORtr,"""Transport of Formate, Endoplasmatic Reticulum""","""for[c] <=> for[r] """,transport_endoplasmic_reticular,"""nan""",,,,,MNXR99620,bio/CHEMBL116736,bio/HMR_4942
1705,,FORtrn,"""Transport of Formate, Nuclear""","""for[c] <=> for[n] """,transport_nuclear,"""1.2.1.2""",,,,,,bio/CHEMBL116736,bio/FORtrn
1706,HMR_8108,FPGS2,"""Folylpolyglutamate Synthetase""","""5thf[c] + atp[c] + glu_L[c] -> 6thf[c] + adp[c] + h[c] + pi[c] """,folate_metabolism,"""nan""",,,,,MNXR99625,0,bio/HMR_8108
1707,HMR_8871,FPGS2,"""Folylpolyglutamate Synthetase""","""5thf[c] + atp[c] + glu_L[c] -> 6thf[c] + adp[c] + h[c] + pi[c] """,folate_metabolism,"""nan""",,,,,MNXR99625,0,bio/HMR_8871
1708,HMR_8108,FPGS2m,"""Folylpolyglutamate Synthetase, Mitochondrial""","""5thf[m] + atp[m] + glu_L[m] -> 6thf[m] + adp[m] + h[m] + pi[m] """,folate_metabolism,"""nan""",,,,,MNXR99625,0,bio/HMR_8108
1709,HMR_8871,FPGS2m,"""Folylpolyglutamate Synthetase, Mitochondrial""","""5thf[m] + atp[m] + glu_L[m] -> 6thf[m] + adp[m] + h[m] + pi[m] """,folate_metabolism,"""nan""",,,,,MNXR99625,0,bio/HMR_8871
1710,HMR_8109,FPGS3,"""Folylpolyglutamate Synthetase""","""6thf[c] + atp[c] + glu_L[c] -> 7thf[c] + adp[c] + h[c] + pi[c] """,folate_metabolism,"""nan""",,,,,MNXR99626,0,bio/HMR_8109
1711,HMR_8116,FPGS3,"""Folylpolyglutamate Synthetase""","""6thf[c] + atp[c] + glu_L[c] -> 7thf[c] + adp[c] + h[c] + pi[c] """,folate_metabolism,"""nan""",,,,,MNXR99626,0,bio/HMR_8116
1712,HMR_8109,FPGS3m,"""Folylpolyglutamate Synthetase, Mitochondrial""","""6thf[m] + atp[m] + glu_L[m] -> 7thf[m] + adp[m] + h[m] + pi[m] """,folate_metabolism,"""nan""",,,,,MNXR99626,0,bio/HMR_8109
1713,HMR_8116,FPGS3m,"""Folylpolyglutamate Synthetase, Mitochondrial""","""6thf[m] + atp[m] + glu_L[m] -> 7thf[m] + adp[m] + h[m] + pi[m] """,folate_metabolism,"""nan""",,,,,MNXR99626,0,bio/HMR_8116
1714,,FPGS4,"""Folylpolyglutamate Synthetase (Dhf)""","""atp[c] + dhf[c] + 4.0 glu_L[c] -> 5dhf[c] + adp[c] + h[c] + 3.0 h2o[c] + pi[c] """,folate_metabolism,"""6.3.2.17""",,,,,,0,bio/FPGS4
1715,,FPGS4m,"""Folylpolyglutamate Synthetase (Dhf), Mitochondrial""","""atp[m] + dhf[m] + 4.0 glu_L[m] -> 5dhf[m] + adp[m] + h[m] + 3.0 h2o[m] + pi[m] """,folate_metabolism,"""6.3.2.17""",,,,,,0,bio/FPGS4m
1716,HMR_8105,FPGS5,"""Folylpolyglutamate Synthetase (Dhf)""","""5dhf[c] + atp[c] + glu_L[c] -> 6dhf[c] + adp[c] + h[c] + pi[c] """,folate_metabolism,"""nan""",,,,,MNXR99628,0,bio/HMR_8105
1717,HMR_8112,FPGS5,"""Folylpolyglutamate Synthetase (Dhf)""","""5dhf[c] + atp[c] + glu_L[c] -> 6dhf[c] + adp[c] + h[c] + pi[c] """,folate_metabolism,"""nan""",,,,,MNXR99628,0,bio/HMR_8112
1718,HMR_8105,FPGS5m,"""Folylpolyglutamate Synthetase (Dhf), Mitochondrial""","""5dhf[m] + atp[m] + glu_L[m] -> 6dhf[m] + adp[m] + h[m] + pi[m] """,folate_metabolism,"""nan""",,,,,MNXR99628,0,bio/HMR_8105
1719,HMR_8112,FPGS5m,"""Folylpolyglutamate Synthetase (Dhf), Mitochondrial""","""5dhf[m] + atp[m] + glu_L[m] -> 6dhf[m] + adp[m] + h[m] + pi[m] """,folate_metabolism,"""nan""",,,,,MNXR99628,0,bio/HMR_8112
1720,HMR_8106,FPGS6,"""Folylpolyglutamate Synthetase (Dhf)""","""6dhf[c] + atp[c] + glu_L[c] -> 7dhf[c] + adp[c] + h[c] + pi[c] """,folate_metabolism,"""nan""",,,,,MNXR99629,0,bio/HMR_8106
1721,HMR_8113,FPGS6,"""Folylpolyglutamate Synthetase (Dhf)""","""6dhf[c] + atp[c] + glu_L[c] -> 7dhf[c] + adp[c] + h[c] + pi[c] """,folate_metabolism,"""nan""",,,,,MNXR99629,0,bio/HMR_8113
1722,HMR_8106,FPGS6m,"""Folylpolyglutamate Synthetase (Dhf), Mitochondrial""","""6dhf[m] + atp[m] + glu_L[m] -> 7dhf[m] + adp[m] + h[m] + pi[m] """,folate_metabolism,"""nan""",,,,,MNXR99629,0,bio/HMR_8106
1723,HMR_8113,FPGS6m,"""Folylpolyglutamate Synthetase (Dhf), Mitochondrial""","""6dhf[m] + atp[m] + glu_L[m] -> 7dhf[m] + adp[m] + h[m] + pi[m] """,folate_metabolism,"""nan""",,,,,MNXR99629,0,bio/HMR_8113
1724,,FPGS7m,"""Folylpolyglutamate Synthetase (10Fthf), Mitochondrial""","""10fthf[m] + atp[m] + 4.0 glu_L[m] -> 10fthf5glu[m] + adp[m] + h[m] + 3.0 h2o[m] + pi[m] """,folate_metabolism,"""6.3.2.17""",,,,,,0,bio/FPGS7m
1725,HMR_7908,FPGS8,"""Folylpolyglutamate Synthetase (10Fthf)""","""10fthf5glu[c] + atp[c] + glu_L[c] -> 10fthf6glu[c] + adp[c] + h[c] + pi[c] """,folate_metabolism,"""nan""",,,,,MNXR99631,0,bio/HMR_7908
1726,HMR_7909,FPGS8,"""Folylpolyglutamate Synthetase (10Fthf)""","""10fthf5glu[c] + atp[c] + glu_L[c] -> 10fthf6glu[c] + adp[c] + h[c] + pi[c] """,folate_metabolism,"""nan""",,,,,MNXR99631,0,bio/HMR_7909
1727,HMR_7908,FPGS8m,"""Folylpolyglutamate Synthetase (10Fthf), Mitochondrial""","""10fthf5glu[m] + atp[m] + glu_L[m] -> 10fthf6glu[m] + adp[m] + h[m] + pi[m] """,folate_metabolism,"""nan""",,,,,MNXR99631,0,bio/HMR_7908
1728,HMR_7909,FPGS8m,"""Folylpolyglutamate Synthetase (10Fthf), Mitochondrial""","""10fthf5glu[m] + atp[m] + glu_L[m] -> 10fthf6glu[m] + adp[m] + h[m] + pi[m] """,folate_metabolism,"""nan""",,,,,MNXR99631,0,bio/HMR_7909
1729,HMR_7910,FPGS9,"""Folylpolyglutamate Synthetase (10Fthf)""","""10fthf6glu[c] + atp[c] + glu_L[c] -> 10fthf7glu[c] + adp[c] + h[c] + pi[c] """,folate_metabolism,"""nan""",,,,,MNXR99632,0,bio/HMR_7910
1730,HMR_7911,FPGS9,"""Folylpolyglutamate Synthetase (10Fthf)""","""10fthf6glu[c] + atp[c] + glu_L[c] -> 10fthf7glu[c] + adp[c] + h[c] + pi[c] """,folate_metabolism,"""nan""",,,,,MNXR99632,0,bio/HMR_7911
1731,HMR_7910,FPGS9m,"""Folylpolyglutamate Synthetase (10Fthf), Mitochondrial""","""10fthf6glu[m] + atp[m] + glu_L[m] -> 10fthf7glu[m] + adp[m] + h[m] + pi[m] """,folate_metabolism,"""nan""",,,,,MNXR99632,0,bio/HMR_7910
1732,HMR_7911,FPGS9m,"""Folylpolyglutamate Synthetase (10Fthf), Mitochondrial""","""10fthf6glu[m] + atp[m] + glu_L[m] -> 10fthf7glu[m] + adp[m] + h[m] + pi[m] """,folate_metabolism,"""nan""",,,,,MNXR99632,0,bio/HMR_7911
1733,,FPGSm,"""Folylpolyglutamate Synthetase, Mitochondrial""","""atp[m] + 4.0 glu_L[m] + thf[m] -> 5thf[m] + adp[m] + h[m] + 3.0 h2o[m] + pi[m] """,folate_metabolism,"""6.3.2.17""",,,,,,0,bio/FPGSm
1734,HMR_7913,FRDPtc,"""Lipid, Flip-Flop Intracellular Transport""","""frdp[x] <=> frdp[c] """,transport_peroxisomal,"""nan""",,,,,MNXR99646,bio/CHEMBL69330,bio/HMR_7913
1735,HMR_8115,FRDPtc,"""Lipid, Flip-Flop Intracellular Transport""","""frdp[x] <=> frdp[c] """,transport_peroxisomal,"""nan""",,,,,MNXR99646,bio/CHEMBL69330,bio/HMR_8115
1736,FRDPtc,FRDPtc,"""Lipid, Flip-Flop Intracellular Transport""","""frdp[x] <=> frdp[c] """,transport_peroxisomal,"""nan""",,,,,MNXR99646,bio/CHEMBL69330,bio/FRDPtc
1737,FRDPtr,FRDPtc,"""Lipid, Flip-Flop Intracellular Transport""","""frdp[x] <=> frdp[c] """,transport_peroxisomal,"""nan""",,,,,MNXR99646,bio/CHEMBL69330,bio/FRDPtr
1738,FRDPtcr,FRDPtc,"""Lipid, Flip-Flop Intracellular Transport""","""frdp[x] <=> frdp[c] """,transport_peroxisomal,"""nan""",,,,,MNXR99646,bio/CHEMBL69330,bio/FRDPtcr
1739,HMR_7913,FRDPtr,"""Lipid, Flip-Flop Intracellular Transport""","""frdp[x] <=> frdp[r] """,transport_peroxisomal,"""nan""",,,,,MNXR99646,bio/CHEMBL69330,bio/HMR_7913
1740,HMR_8115,FRDPtr,"""Lipid, Flip-Flop Intracellular Transport""","""frdp[x] <=> frdp[r] """,transport_peroxisomal,"""nan""",,,,,MNXR99646,bio/CHEMBL69330,bio/HMR_8115
1741,FRDPtc,FRDPtr,"""Lipid, Flip-Flop Intracellular Transport""","""frdp[x] <=> frdp[r] """,transport_peroxisomal,"""nan""",,,,,MNXR99646,bio/CHEMBL69330,bio/FRDPtc
1742,FRDPtr,FRDPtr,"""Lipid, Flip-Flop Intracellular Transport""","""frdp[x] <=> frdp[r] """,transport_peroxisomal,"""nan""",,,,,MNXR99646,bio/CHEMBL69330,bio/FRDPtr
1743,FRDPtcr,FRDPtr,"""Lipid, Flip-Flop Intracellular Transport""","""frdp[x] <=> frdp[r] """,transport_peroxisomal,"""nan""",,,,,MNXR99646,bio/CHEMBL69330,bio/FRDPtcr
1744,HMR_4321,FRUt1r,"""Transport of D-Fructose via Uniport""","""fru[e] <=> fru[c] """,transport_extracellular,"""nan""",,,,,MNXR99663,bio/CHEMBL604608,bio/HMR_4321
1745,HMR_4336,FTHFDH,"""Formyltetrahydrofolate Dehydrogenase""","""10fthf[c] + h2o[c] + nadp[c] -> co2[c] + h[c] + nadph[c] + thf[c] """,folate_metabolism,"""1.5.1.6""",R00941,,,rxn00688,MNXR99670,0,bio/HMR_4336
1746,,FTHFLm,"""Formate-Tetrahydrofolate Ligase, Mitochondrial""","""atp[m] + for[m] + thf[m] -> 10fthf[m] + adp[m] + pi[m] """,folate_metabolism,"""6.3.4.3""",,,,,,0,bio/FTHFLm
1747,,FUC13GALACGLCGAL14ACGLCGALGLUSIDEte,"""Blood Group Intracellular Transport""","""fuc13galacglcgal14acglcgalgluside_hs[e] <=> fuc13galacglcgal14acglcgalgluside_hs[c] """,transport_extracellular,"""nan""",,,,,MNXR99674,0,bio/FUC13GALACGLCGAL14ACGLCGALGLUSIDEte
1748,,FUC13GALACGLCGAL14ACGLCGALGLUSIDEtg,"""Blood Group Intracellular Transport""","""fuc13galacglcgal14acglcgalgluside_hs[g] <=> fuc13galacglcgal14acglcgalgluside_hs[c] """,transport_golgi_apparatus,"""nan""",,,,,MNXR99674,0,bio/FUC13GALACGLCGAL14ACGLCGALGLUSIDEtg
1749,HMR_8336,FUC14GALACGLCGALGLUSIDEte,"""Blood Group Intracellular Transport""","""fuc14galacglcgalgluside_hs[e] <=> fuc14galacglcgalgluside_hs[c] """,transport_extracellular,"""nan""",,,,,MNXR99676,0,bio/HMR_8336
1750,HMR_8335,FUC14GALACGLCGALGLUSIDEte,"""Blood Group Intracellular Transport""","""fuc14galacglcgalgluside_hs[e] <=> fuc14galacglcgalgluside_hs[c] """,transport_extracellular,"""nan""",,,,,MNXR99676,0,bio/HMR_8335
1751,HMR_8336,FUC14GALACGLCGALGLUSIDEtg,"""Blood Group Intracellular Transport""","""fuc14galacglcgalgluside_hs[g] <=> fuc14galacglcgalgluside_hs[c] """,transport_golgi_apparatus,"""nan""",,,,,MNXR99676,0,bio/HMR_8336
1752,HMR_8335,FUC14GALACGLCGALGLUSIDEtg,"""Blood Group Intracellular Transport""","""fuc14galacglcgalgluside_hs[g] <=> fuc14galacglcgalgluside_hs[c] """,transport_golgi_apparatus,"""nan""",,,,,MNXR99676,0,bio/HMR_8335
1753,HMR_8273,FUCACGALFUCGALACGLCGALGLUSIDEte,"""Blood Group Intracellular Transport""","""fucacgalfucgalacglcgalgluside_hs[e] <=> fucacgalfucgalacglcgalgluside_hs[c] """,transport_extracellular,"""nan""",,,,,MNXR99678,0,bio/HMR_8273
1754,HMR_8273,FUCACGALFUCGALACGLCGALGLUSIDEtg,"""Blood Group Intracellular Transport""","""fucacgalfucgalacglcgalgluside_hs[g] <=> fucacgalfucgalacglcgalgluside_hs[c] """,transport_golgi_apparatus,"""nan""",,,,,MNXR99678,0,bio/HMR_8273
1755,HMR_8272,FUCACNGAL14ACGLCGALGLUSIDEte,"""Blood Group Intracellular Transport""","""fucacngal14acglcgalgluside_hs[e] <=> fucacngal14acglcgalgluside_hs[c] """,transport_extracellular,"""nan""",,,,,MNXR99680,0,bio/HMR_8272
1756,HMR_8272,FUCACNGAL14ACGLCGALGLUSIDEtg,"""Blood Group Intracellular Transport""","""fucacngal14acglcgalgluside_hs[g] <=> fucacngal14acglcgalgluside_hs[c] """,transport_golgi_apparatus,"""nan""",,,,,MNXR99680,0,bio/HMR_8272
1757,,FUCACNGALACGLCGALGLUSIDEte,"""Blood Group Intracellular Transport""","""fucacngalacglcgalgluside_hs[e] <=> fucacngalacglcgalgluside_hs[c] """,transport_extracellular,"""nan""",,,,,MNXR99682,0,bio/FUCACNGALACGLCGALGLUSIDEte
1758,,FUCACNGALACGLCGALGLUSIDEtg,"""Blood Group Intracellular Transport""","""fucacngalacglcgalgluside_hs[g] <=> fucacngalacglcgalgluside_hs[c] """,transport_golgi_apparatus,"""nan""",,,,,MNXR99682,0,bio/FUCACNGALACGLCGALGLUSIDEtg
1759,HMR_7373,FUCASE2e,"""Alpha-Fucosidase, Extracellular""","""h2o[e] + ksi[e] -> fuc_L[e] + ksi_deg1[e] """,keratan_sulfate_degradation,"""nan""",,,,,MNXR99685,0,bio/HMR_7373
1760,HMR_7375,FUCASE2e,"""Alpha-Fucosidase, Extracellular""","""h2o[e] + ksi[e] -> fuc_L[e] + ksi_deg1[e] """,keratan_sulfate_degradation,"""nan""",,,,,MNXR99685,0,bio/HMR_7375
1761,HMR_8266,FUCASE2e,"""Alpha-Fucosidase, Extracellular""","""h2o[e] + ksi[e] -> fuc_L[e] + ksi_deg1[e] """,keratan_sulfate_degradation,"""nan""",,,,,MNXR99685,0,bio/HMR_8266
1762,HMR_8265,FUCASE2e,"""Alpha-Fucosidase, Extracellular""","""h2o[e] + ksi[e] -> fuc_L[e] + ksi_deg1[e] """,keratan_sulfate_degradation,"""nan""",,,,,MNXR99685,0,bio/HMR_8265
1763,HMR_7373,FUCASE2ly,"""Alpha-Fucosidase, Lysosomal""","""h2o[l] + ksi[l] -> fuc_L[l] + ksi_deg1[l] """,keratan_sulfate_degradation,"""nan""",,,,,MNXR99685,0,bio/HMR_7373
1764,HMR_7375,FUCASE2ly,"""Alpha-Fucosidase, Lysosomal""","""h2o[l] + ksi[l] -> fuc_L[l] + ksi_deg1[l] """,keratan_sulfate_degradation,"""nan""",,,,,MNXR99685,0,bio/HMR_7375
1765,HMR_8266,FUCASE2ly,"""Alpha-Fucosidase, Lysosomal""","""h2o[l] + ksi[l] -> fuc_L[l] + ksi_deg1[l] """,keratan_sulfate_degradation,"""nan""",,,,,MNXR99685,0,bio/HMR_8266
